GRPCODE;GRPNAME;MKBCODE
10 001 696;Лицо, находившееся в тяжелом грузовом автомобиле и пострадавшее при его столкновении с другим немоторным транспортным средством;V66
10 001 697;Лицо, находившееся в тяжелом грузовом автомобиле и пострадавшее при его столкновении с закрепленным или стационарным объектом;V67
10 001 698;Лицо, находившееся в тяжелом грузовом автомобиле и пострадавшее в результате дорожного несчастного случая без столкновения;V68
10 001 699;Лицо, находившееся в тяжелом грузовом автомобиле и пострадавшее в результате других и неуточненных дорожных несчастных случаев;V69
10 001 700;Лицо, находившееся в автобусе и пострадавшее при его столкновении с пешеходом или животным;V70
10 001 701;Лицо, находившееся в автобусе и пострадавшее при его столкновении с велосипедом;V71
10 001 702;Лицо, находившееся в автобусе и пострадавшее при его столкновении с двух- или трехколесным моторным транспортным средством;V72
10 001 703;Лицо, находившееся в автобусе и пострадавшее при его столкновении с легковым автомобилем, грузовым автомобилем типа пикап или фургоном;V73
10 001 704;Лицо, находившееся в автобусе и пострадавшее при его столкновении с тяжелым грузовым автомобилем или автобусом;V74
10 001 705;Лицо, находившееся в автобусе и пострадавшее при его столкновении с поездом или другим железнодорожным транспортным средством;V75
10 001 706;Лицо, находившееся в автобусе и пострадавшее при его столкновении с другим немоторным транспортным средством;V76
10 001 707;Лицо, находившееся в автобусе и пострадавшее при его столкновении с закрепленным или стационарным объектом;V77
10 001 708;Лицо, находившееся в автобусе и пострадавшее в результате транспортного несчастного случая без столкновения;V78
10 001 709;Лицо, находившееся в автобусе и пострадавшее в результате других и неуточненных дорожных несчастных случаев;V79
10 001 710;Всадник или лицо, находившееся в гужевом транспортном средстве, пострадавшее в результате транспортного несчастного случая;V80
10 001 711;Лицо, находившееся в поезде или другом железнодорожном транспортном средстве и пострадавшее в результате транспортного несчастного случая;V81
10 001 712;Лицо, находившееся в трамвае и пострадавшее в результате дорожного несчастного случая;V82
10 001 713;Лицо, находившееся в специальном транспортном средстве, используемом преимущественно на территории промышленных предприятий, пострадавшее в результате транспортного несчастного случая;V83
10 001 714;Лицо, находившееся в специальном транспортном средстве, используемом преимущественно в сельском хозяйстве, пострадавшее в результате транспортного несчастного случая;V84
10 001 715;Лицо, находившееся в специальном транспортном средстве, используемом в строительстве, пострадавшее в результате транспортного несчастного случая;V85
10 001 716;Лицо, находившееся в вездеходе или в другом моторном транспортном средстве, предназначенном преимущественно для передвижения вне дорог, пострадавшее в результате транспортного несчастного случая;V86
10 001 717;Дорожный несчастный случай уточненного характера, но с неизвестным способом передвижения пострадавшего;V87
10 001 718;Недорожный несчастный случай уточненного характера, но с неизвестным способом передвижения пострадавшего;V88
10 001 719;Несчастный случай, связанный с моторным или немоторным транспортным средством неуточненного вида;V89
10 001 720;Погружение в воду и утопление в результате аварии на водном транспортном средстве;V90
10 001 721;Другие повреждения в результате аварии на водном транспортном средстве;V91
10 001 722;Погружение в воду и утопление, связанное с водным транспортным средством, не вызванное аварией на нем;V92
10 001 723;Несчастный случай на борту водного транспортного средства, не вызванный аварией на нем и не приведший к погружению в воду и утоплению;V93
10 001 724;Другие и неуточненные несчастные случаи на водном транспорте;V94
10 001 725;Авария оснащенного силовым двигателем воздушного транспортного средства, ставшая причиной травмы находившегося в нем лица;V95
10 001 726;Авария не оснащенного силовым двигателем воздушного транспортного средства, ставшая причиной травмы лица, находившегося на нем;V96
10 001 727;Другие уточненные аварии воздушного транспортного средства;V97
10 001 728;Другие уточненные транспортные несчастные случаи;V98
10 001 729;Транспортный несчастный случай неуточненный;V99
10 001 730;Падение на поверхности одного уровня, покрытой льдом или снегом;W00
10 001 731;Падение на поверхности одного уровня в результате поскальзывания, ложного шага или спотыкания;W01
10 001 732;Падение при катании на коньках, лыжах, роликовых коньках или роликовой доске;W02
10 001 733;Другое падение на поверхности одного уровня в результате столкновения с другим лицом или толчка;W03
10 001 734;Падение лица при переносе его другими лицами или при оказании ему поддержки другим лицом;W04
10 001 735;Падение, связанное с инвалидной коляской;W05
10 001 736;Падение, связанное с кроватью;W06
10 001 737;Падение, связанное со стулом;W07
10 001 738;Падение, связанное с другими предметами обстановки;W08
10 001 739;Падение, связанное с оборудованием спортивной площадки;W09
10 001 740;Падение на лестнице и ступенях или с лестницы и ступеней;W10
10 001 741;Падение на приставной лестнице и с нее;W11
10 001 742;Падение на строительных лесах и с них;W12
10 001 743;Падение со (из) здания или сооружения;W13
10 001 744;Падение с дерева;W14
10 001 745;Падение со скалы (крутого обрыва);W15
10 001 746;Ныряние или прыжок в воду, приведшие к травме, отличной от утопления или погружения в воду;W16
10 001 747;Другое падение с одного уровня на другой;W17
10 001 748;Другие случаи падения на поверхности одного уровня;W18
10 001 749;Падение неуточненное;W19
10 001 750;Удар брошенным, рушащимся или падающим предметом;W20
10 001 751;Удар о спортивное оборудование или спортивным оборудованием;W21
10 001 752;Удар о другой предмет или другим предметом;W22
10 001 753;Зацепление, раздавливание, сжатие или защемление в объекте или между объектами;W23
10 001 754;Соприкосновение с подъемными и передаточными устройствами, не классифицированными в других рубриках;W24
10 001 755;Соприкосновение с острым краем стекла;W25
10 001 756;Соприкосновение с ножом, шпагой или кинжалом;W26
10 001 757;Соприкосновение с ручным инструментом без силового двигателя;W27
10 001 758;Соприкосновение с силовой газонокосилкой;W28
10 001 759;Соприкосновение с другими силовыми ручными инструментами и бытовыми машинами;W29
10 001 760;Соприкосновение с сельскохозяйственными механизмами;W30
10 001 761;Соприкосновение с другими и неуточненными машинами;W31
10 001 762;Выстрел из ручного огнестрельного оружия;W32
10 001 763;Выстрел из винтовки, дробового ружья и крупнокалиберного огнестрельного оружия;W33
10 001 764;Выстрел из другого и неуточненного огнестрельного оружия;W34
10 001 765;Взрыв, разрыв парового котла;W35
10 001 766;Взрыв, разрыв газового баллона;W36
10 001 767;Разрыв автомобильной шины, трубопровода или шланга, находившихся под давлением;W37
10 001 768;Взрыв, разрыв другого уточненного устройства, находившегося под давлением;W38
10 001 769;Залп фейерверка;W39
10 001 770;Взрыв других веществ;W40
10 001 771;Воздействие струи под давлением;W41
10 001 772;Воздействие шума;W42
10 001 773;Воздействие вибрации;W43
10 001 774;Попадание инородного тела в или через глаз или естественное;W44
10 001 775;Проникновение инородного тела через кожу;W45
10 001 776;Воздействие других и неуточненных неживых механических сил;W49
10 001 777;Удар, толчок, пинок, выкручивание, укус или оцарапывание другим лицом;W50
10 001 778;Удар другого лица или столкновение с ним;W51
10 001 779;Раздавливание, толчок или затаптывание толпой или при паническом бегстве людей;W52
10 001 780;Укус крысы;W53
10 001 781;Укус или удар, нанесенный собакой;W54
10 001 782;Укус или удар, нанесенный другими млекопитающими;W55
10 001 783;Контакт с морским животным;W56
10 001 784;Укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими;W57
10 001 785;Укус или удар, нанесенный крокодилом;W58
10 001 786;Укус или раздавливание другими рептилиями;W59
10 001 787;Контакт с шипами и колючками растений или листьями с острыми краями;W60
10 001 788;Воздействие других и неуточненных живых механических сил;W64
10 001 789;Утопление и погружение в воду во время принятия ванны;W65
10 001 790;Утопление и погружение в воду в результате падения в ванну;W66
10 001 791;Утопление и погружение в воду во время нахождения в плавательном бассейне;W67
10 001 792;Утопление и погружение в воду в результате падения в плавательный бассейн;W68
10 001 793;Утопление и погружение в воду во время нахождения в естественном водоеме;W69
10 001 794;Утопление и погружение в воду в результате падения в естественный водоем;W70
10 001 795;Другие уточненные случаи утопления и погружения в воду;W73
10 001 796;Случаи утопления и погружения в воду неуточненные;W74
10 001 797;Случайное удушение и удавление в кровати;W75
10 001 798;Другие случайные повешения и удавления;W76
10 001 799;Угроза дыханию в результате засыпания сыпучими веществами,обвалившейся землей и другими породами;W77
10 001 800;Вдыхание содержимого желудка;W78
10 001 801;Вдыхание и заглатывание пищи, приводящее к закупорке дыхательных путей;W79
10 001 802;Вдыхание и заглатывание другого инородного тела, приводящее к закупорке дыхательных путей;W80
10 001 803;Случайное или преднамеренное попадание в среду с низким содержанием кислорода;W81
10 001 804;Другие случаи уточненной угрозы дыханию;W83
10 001 805;Угроза дыханию неуточненная;W84
10 001 806;Несчастный случай, связанный с линией электропередачи;W85
10 001 807;Несчастный случай, связанный с источником электрического тока уточненным;W86
10 001 808;Несчастный случай, связанный с источником электрического тока неуточненным;W87
10 001 809;Воздействие ионизирующего излучения;W88
10 001 810;Воздействие искусственных видимых и ультрафиолетовых лучей;W89
10 001 811;Воздействие другого неионизирующего излучения;W90
10 001 812;Воздействие излучения неуточненного типа;W91
10 001 813;Воздействие чрезмерного тепла от искусственного источника;W92
10 001 814;Воздействие чрезмерного холода от искусственного источника;W93
10 001 815;Воздействие высокого и низкого атмосферного давления и изменений атмосферного давления;W94
10 001 816;Воздействие других и неуточненных искусственно созданных факторов внешней среды;W99
10 001 817;Воздействие неконтролируемого огня (пожара) в здании или сооружении;X00
10 001 818;Воздействие неконтролируемого огня (пожара) вне здания или сооружения;X01
10 001 819;Воздействие контролируемого огня в здании или сооружении;X02
10 001 820;Воздействие контролируемого огня вне здания или сооружения;X03
10 001 821;Повреждение при загорании легковоспламеняющихся веществ;X04
10 001 822;Повреждение при воспламенении или расплавлении ночной пижамы (рубашки);X05
10 001 823;Повреждение при воспламенении или расплавлении другой одежды и дополнений к ней;X06
10 001 824;Воздействие других уточненных источников дыма, огня и пламени;X08
10 001 825;Воздействие неуточненных источников дыма, огня и пламени;X09
10 001 826;Соприкосновение с горячими напитками, пищевыми продуктами, жирами и кулинарными маслами;X10
10 001 827;Соприкосновение с горячей водой из крана;X11
10 001 828;Соприкосновение с другими горячими жидкостями;X12
10 001 829;Воздействие пара и горячих испарений;X13
10 001 830;Воздействие горячего воздуха и газов;X14
10 001 831;Соприкосновение с горячими бытовыми приборами;X15
10 001 832;Соприкосновение с горячими обогревательными приборами, радиаторами отопления и трубами;X16
10 001 833;Соприкосновение с горячими двигателями, машинами и инструментами;X17
10 001 834;Соприкосновение с другими раскаленными металлами;X18
10 001 835;Соприкосновение с другими и неуточненными горячими и раскаленными веществами и предметами;X19
10 001 836;Контакт с ядовитыми змеями и ящерицами;X20
10 001 837;Контакт с ядовитыми пауками;X21
10 001 838;Контакт со скорпионом;X22
10 001 839;Контакт с шершнями, осами и пчелами;X23
10 001 840;Контакт с многоножками и ядовитыми тысяченожками (тропическими);X24
10 001 841;Контакт с другими уточненными ядовитыми членистоногими;X25
10 001 842;Контакт с ядовитыми морскими животными и растениями;X26
10 001 843;Контакт с другими уточненными ядовитыми животными;X27
10 001 844;Контакт с другими уточненными ядовитыми растениями;X28
10 001 845;Контакт с неуточненными ядовитыми растениями и животными;X29
10 001 846;Воздействие чрезмерно высокой природной температуры;X30
10 001 847;Воздействие чрезмерно низкой природной температуры;X31
10 001 848;Воздействие солнечного света;X32
10 001 849;Жертва удара молнии;X33
10 001 850;Жертва землетрясения;X34
10 001 851;Жертва извержения вулкана;X35
10 001 852;Жертва снежного обвала, оползня и их подвижек грунта;X36
10 001 853;Жертва разрушительного шторма;X37
10 001 854;Жертва наводнения;X38
10 001 855;Воздействие других и неуточненных сил природы;X39
10 001 856;Случайное отравление и воздействие неопиоидными анальгетиками, жаропонижающими и противоревматическими средствами;X40
10 001 857;Случайное отравление и воздействие противосудорожными, седативными, снотворными, противопаркинсоническими и психотропными средствами, не классифицированные в других рубриках;X41
10 001 858;Случайное отравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированные в других рубриках;X42
10 001 859;Случайное отравление и воздействие другими лекарственными средствами, влияющими на вегетативную нервную систему;X43
10 001 860;Случайное отравление и воздействие другими и неуточненными лекарственными средствами, медикаментами и биологическими субстанциями;X44
10 001 861;Случайное отравление и воздействие алкоголем;X45
10 001 862;Случайное отравление и воздействие органическими растворителями, галогенсодержащими углеводородами и их парами;X46
10 001 863;Случайное отравление и воздействие другими газами и парообразными веществами;X47
10 001 864;Случайное отравление и воздействие пестицидами;X48
10 001 865;Случайное отравление и воздействие другими и неуточненными химическими и ядовитыми веществами;X49
10 001 866;Перенапряжение и резкие или повторяющиеся движения;X50
10 001 867;Путешествия и передвижения;X51
10 001 868;Продолжительное пребывание в состоянии невесомости;X52
10 001 869;Отсутствие пищи;X53
10 001 870;Отсутствие воды;X54
10 001 871;Лишения неуточненные;X57
10 001 872;Воздействие других уточненных факторов;X58
10 001 873;Воздействие неуточненного фактора;X59
10 001 874;Преднамеренное самоотравление и воздействие неопиоидными анальгетиками, жаропонижающими и противоревматическими средствами;X60
10 001 875;Преднамеренное самоотравление и воздействие противосудорожными,седативными, снотворными, противопаркинсоническими и психотропными средствами, не классифицированные в других рубриках;X61
10 001 876;Преднамеренное самоотравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированные в других рубриках;X62
10 001 877;Преднамеренное самоотравление и воздействие другими лекарственными средствами, действующими на вегетативную нервную систему;X63
10 001 878;Преднамеренное самоотравление и воздействие другими и неуточненными лекарственными средствами, медикаментами и биологическими веществами;X64
10 001 879;Преднамеренное самоотравление и воздействие алкоголем;X65
10 001 880;Преднамеренное самоотравление и воздействие органическими растворителями, галогенсодержащими углеводородами и их парами;X66
10 001 881;Преднамеренное самоотравление и воздействие другими газами и парообразными веществами;X67
10 001 882;Преднамеренное самоотравление и воздействие пестицидами;X68
10 001 883;Преднамеренное самоотравление и воздействие другими и неуточненными химическими и ядовитыми веществами;X69
10 001 884;Преднамеренное самоповреждение путем повешения, удавления и удушения;X70
10 001 885;Преднамеренное самоповреждение путем погружения в воду и утопления;X71
10 001 886;Преднамеренное самоповреждение путем выстрела из ручного огнестрельного оружия;X72
10 001 887;Преднамеренное самоповреждение путем выстрела из винтовки, дробового ружья и крупнокалиберного огнестрельного оружия;X73
10 001 888;Преднамеренное самоповреждение путем выстрела из другого и неуточненного огнестрельного оружия;X74
10 001 889;Преднамеренное самоповреждение путем использования взрывчатых веществ;X75
10 001 890;Преднамеренное самоповреждение дымом, огнем и пламенем;X76
10 001 891;Преднамеренное самоповреждение паром, горячими испарениями и горячими предметами;X77
10 001 892;Преднамеренное самоповреждение острым предметом;X78
10 001 893;Преднамеренное самоповреждение тупым предметом;X79
10 001 894;Преднамеренное самоповреждение путем прыжка с высоты;X80
10 001 895;Преднамеренное самоповреждение путем прыжка под движущийся объект или лежания перед ним;X81
10 001 896;Преднамеренное самоповреждение посредством аварии моторного транспортного средства;X82
10 001 897;Преднамеренное самоповреждение посредством других уточненных действий;X83
10 001 898;Преднамеренное самоповреждение посредством неуточненных действий;X84
10 001 899;Нападение с применением лекарственных средств, медикаментов и биологических веществ;X85
10 001 900;Нападение с применением едких веществ;X86
10 001 901;Нападение с применением пестицидов;X87
10 001 902;Нападение  с применением газов и парообразных веществ;X88
10 001 903;Нападение с применением других уточненных химических и ядовитых веществ;X89
10 001 904;Нападение с применением неуточненных химических или ядовитых веществ;X90
10 001 905;Нападение путем повешения, удушения и удавления;X91
10 001 906;Нападение путем утопления и погружения в воду;X92
10 001 907;Нападение путем выстрела из ручного огнестрельного оружия;X93
10 001 908;Нападение путем выстрела из винтовки, дробового ружья и огнестрельного оружия крупного калибра;X94
10 001 909;Нападение путем выстрела из другого и неуточненного огнестрельного оружия;X95
10 001 910;Нападение путем использования взрывчатых веществ;X96
10 001 911;Нападение с применением дыма, огня и пламени;X97
10 001 912;Нападение с применением пара, горячих испарений и горячих предметов;X98
10 001 913;Нападение с применением острого предмета;X99
10 001 914;Нападение с применением тупого предмета;Y00
10 001 915;Нападение путем сталкивания с высоты;Y01
10 001 916;Нападение путем толкания под движущийся объект или укладывания жертвы перед ним;Y02
10 001 917;Нападение путем наезда моторным транспортным средством;Y03
10 001 918;Нападение путем применения физической силы;Y04
10 001 919;Сексуальное нападение с применением физической силы;Y05
10 001 920;Лишение ухода или оставление без присмотра;Y06
10 001 921;Другие формы плохого обращения;Y07
10 001 922;Нападение другими уточненными способами;Y08
10 001 923;Нападение неуточненным способом;Y09
10 001 924;Отравление и воздействие неопиоидными анальгетиками, жаропонижающими и потиворевматическими средствами с неопределенными намерениями;Y10
10 001 925;Отравление и воздействие противосудорожными, седативными, снотворными, противопаркинсоническими и психотропными средствами, не классифицированное в других рубриках, с неопределенными намерениями;Y11
10 001 926;Отравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированное в других рубриках, с неопределенными намерениями;Y12
10 001 927;Отравление и воздействие другими лекарственными средствами, влияющими на вегетативную нервную систему, с неопределенными намерениями;Y13
10 001 928;Отравление и воздействие другими и неуточненными лекарственными средствами, медикаментами и биологическими веществами с неопределенными намерениями;Y14
10 001 929;Отравление и воздействие алкоголем с неопределенными намерениями;Y15
10 001 930;Отравление и воздействие органическими растворителями и галогенсодержащими углеводородами и их парами с неопределенными намерениями;Y16
10 001 931;Отравление и воздействие другими газами и парообразными веществами с неопределенными намерениями;Y17
10 001 932;Отравление и воздействие пестицидами с неопределенными намерениями;Y18
10 001 933;Отравление  и воздействие другими и неуточненными химическими и ядовитыми веществами с неопределенными намерениями;Y19
10 001 934;Повешение, удушение и удавление с неопределенными намерениями;Y20
10 001 935;Погружение в воду и утопление с неопределенными намерениями;Y21
10 001 936;Повреждение в результате выстрела из ручного огнестрельного оружия с неопределенными намерениями;Y22
10 001 937;Повреждение в результате выстрела из винтовки, дробового ружья и крупнокалиберного огнестрельного оружия с неопределенными намерениями;Y23
10 001 938;Повреждение в результате выстрела из другого и неуточненного огнестрельного оружия с неопределенными намерениями;Y24
10 001 939;Контакт со взрывчатым веществом с неопределенными намерениями;Y25
10 001 940;Воздействие дымом, огнем и пламенем с неопределенными намерениями;Y26
10 001 941;Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями;Y27
10 001 942;Контакт с острым предметом с неопределенными намерениями;Y28
10 001 943;Контакт с тупым предметом с неопределенными намерениями;Y29
10 001 944;Падение, прыжок или сталкивание с высоты с неопределенными намерениями;Y30
10 001 945;Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями;Y31
10 001 946;Авария моторного транспортного средства с неопределенными намерениями;Y32
10 001 947;Другие уточненные повреждения, не уточненные как случайные или преднамеренные;Y33
10 001 948;Неуточненные повреждения с неопределенными намерениями;Y34
10 001 949;Действия, предусмотренные законом;Y35
10 001 950;Военные действия;Y36
10 001 951;Антибиотики системного действия;Y40
10 001 952;Другие противоинфекционные и противопаразитарные средства системного действия;Y41
10 001 953;Гормоны и их синтетические заменители и антагонисты, не классифицированные в других рубриках;Y42
10 001 954;Препараты преимущественно системного действия;Y43
10 001 955;Препараты, влияющие преимущественно на компоненты крови;Y44
10 001 956;Аналгезирующие, жаропонижающие и противовоспалительные средства;Y45
10 001 957;Противосудорожные и противопаркинсонические средства;Y46
10 001 958;Седативные, снотворные и анксиолитические [противотревожные] средства;Y47
10 001 959;Обезболивающие и терапевтические газы;Y48
10 001 960;Психотропные средства, не классифицированные в других рубриках;Y49
10 001 961;Препараты, стимулирующие центральную нервную систему, не классифицированные в других рубриках;Y50
10 001 962;Препараты, действующие преимущественно на вегетативную нервную систему;Y51
10 001 963;Препараты, действующие преимущественно на сердечно-сосудистую систему;Y52
10 001 964;Препараты, действующие преимущественно на органы пищеварения;Y53
10 001 965;Препараты, влияющие преимущественно на водный баланс, минеральный обмен и обмен мочевой кислоты;Y54
10 001 966;Препараты, действующие преимущественно на гладкую и скелетную мускулатуру и органы дыхания;Y55
10 001 967;Препараты местного действия, влияющие преимущественно на кожу и слизистые оболочки, и средства, применяемые в офтальмологической, оториноларингологической и стоматологической практике;Y56
10 001 968;Другие и неуточненные лекарственные средства и медикаменты;Y57
10 001 969;Бактериальные вакцины;Y58
10 001 970;Другие и неуточненные вакцины и биологические вещества;Y59
10 001 971;Случайный порез, укол, перфорация или кровотечение при выполнении хирургической и терапевтической процедуры;Y60
10 001 972;Случайное оставление инородного тела в организме при выполнении хирургической и терапевтической процедуры;Y61
10 001 973;Недостаточная стерильность при выполнении хирургических и терапевтических процедур;Y62
10 001 974;Ошибочность дозировки при проведении хирургических и терапевтических процедур;Y63
10 001 975;Загрязненные медицинские или биологические вещества;Y64
10 001 976;Другие несчастные случаи во время оказания хирургической и терапевтической помощи;Y65
10 001 977;Непредоставление хирургической и терапевтической помощи;Y66
10 001 978;Несчастный случай во время оказания хирургической и терапевтической помощи неуточненный;Y69
10 001 979;Приборы для анестезии, с которыми связаны несчастные случаи;Y70
10 001 980;Приборы и устройства для диагностики и лечения болезней сердечно-сосудистой системы, с которыми связаны несчастные случаи;Y71
10 001 981;Приборы и устройства, используемые в оториноларингологической практике, с которыми связаны несчастные случаи;Y72
10 001 982;Приборы и устройства, используемые в гастроэнтерологической и урологической практике, с которыми связаны несчастные случаи;Y73
10 001 983;Приборы и устройства общебольничного и для индивидуального пользования, с которыми связаны несчастные случаи;Y74
10 001 984;Приборы и устройства, используемые в неврологической практике, с которыми связаны несчастные случаи;Y75
10 001 985;Приборы и устройства, используемые в акушерской и гинекологической практике, с которыми связаны несчастные случаи;Y76
10 001 986;Приборы и устройства, используемые в офтальмологической практике, с которыми связаны несчастные случаи;Y77
10 001 987;Радиологические приборы и устройства, с которыми связаны несчастные случаи;Y78
10 001 988;Ортопедические приборы и устройства, с которыми связаны несчастные случаи;Y79
10 001 989;Физиотерапевтические приборы и устройства, с которыми связаны несчастные случаи;Y80
10 001 990;Приборы и устройства, применяемые в общей и пластической хирургии, с которыми связаны несчастные случаи;Y81
10 001 991;Другие и неуточненные медицинские приборы и устройства, с которыми связаны несчастные случаи;Y82
10 001 992;Хирургические операции и другие хирургические процедуры как причина анормальной реакции или позднего осложнения у пациента без упоминания о случайном нанесении ему вреда во время их выполнения;Y83
