DGCODE;GRPCODE;DGNAME;MKBCODE
10011992;10000843;Острая с прободением;K26.1
10011993;10000843;Острая с кровотечением и прободением;K26.2
10011994;10000843;Острая без кровотечения или прободения;K26.3
10011995;10000843;Хроническая или неуточненная с кровотечением;K26.4
10011996;10000843;Хроническая или неуточненная с прободением;K26.5
10011997;10000843;Хроническая или неуточненная с кровотечением и прободением;K26.6
10011998;10000843;Хроническая без кровотечения или прободения;K26.7
10011999;10000843;Не уточненная как острая или хроническая без кровотечения или прободения;K26.9
10012000;10000844;Острая с кровотечением;K27.0
10012001;10000844;Острая с прободением;K27.1
10012002;10000844;Острая с кровотечением и прободением;K27.2
10012003;10000844;Острая без кровотечения или прободения;K27.3
10012004;10000844;Хроническая или неуточненная с кровотечением;K27.4
10012005;10000844;Хроническая или неуточненная с прободением;K27.5
10012006;10000844;Хроническая или неуточненная с кровотечением и прободением;K27.6
10012007;10000844;Хроническая без кровотечения или прободения;K27.7
10012008;10000844;Не уточненная как острая или хроническая без кровотечения или прободения;K27.9
10012009;10000845;Острая с кровотечением;K28.0
10012010;10000845;Острая с прободением;K28.1
10012011;10000845;Острая с кровотечением и прободением;K28.2
10012012;10000845;Острая без кровотечения или прободения;K28.3
10012013;10000845;Хроническая или неуточненная с кровотечением;K28.4
10012014;10000845;Хроническая или неуточненная с прободением;K28.5
10012015;10000845;Хроническая или неуточненная с кровотечением и прободением;K28.6
10012016;10000845;Хроническая без кровотечения или прободения;K28.7
10012017;10000845;Не уточненная как острая или хроническая без кровотечения или прободения;K28.9
10012018;10000062;Диарея и гастроэнтерит предположительно инфекционного происхождения;A09
10012019;10000080;Столбняк новорожденного;A33
10012020;10000081;Акушерский столбняк;A34
10012021;10000082;Другие формы столбняка;A35
10012022;10000085;Скарлатина;A38
10012023;10000092;Рожа;A46
10012024;10000100;Хламидийная лимфогранулема (венерическая);A55
10012025;10000102;Шанкроид;A57
10012026;10000103;Паховая гранулема;A58
10012027;10000107;Болезни, передающиеся половым путем, неуточненные;A64
10012028;10000108;Невенерический сифилис;A65
10012029;10000113;Инфекция, вызываемая Chlamydia psittaci;A70
10012030;10000118;Лихорадка Ку;A78
10012031;10000126;Вирусный энцефалит неуточненный;A86
10012032;10000129;Вирусная инфекция  центральной нервной системы неуточненная;A89
10012033;10000130;Лихорадка денге [классическая лихорадка денге];A90
10012034;10000131;Геморрагическая лихорадка, вызванная вирусом денге;A91
10012035;10000134;Вирусная лихорадка, передаваемая членистоногими, неуточненная;A94
10012036;10000138;Вирусная геморрагическая лихорадка неуточненная;A99
10012037;10000142;Оспа;B03
10012038;10000143;Инфекции, вызванные вирусом обезьяньей оспы;B04
10012039;10000146;Вирусные бородавки;B07
10012040;10000148;Вирусная инфекция, характеризующаяся поражением кожи и слизистых оболочек, неуточненная;B09
10012041;10000158;Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная;B24
10012042;10000179;Микоз неуточненный;B49
10012043;10000184;Малярия неуточненная;B54
10012044;10000189;Пневмоцистоз;B59
10012045;10000191;Протозойная болезнь неуточненная;B64
10012046;10000199;Дракункулез;B72
10012047;10000200;Онхоцеркоз;B73
10012048;10000202;Трихинеллез;B75
10012049;10000206;Трихуроз;B79
10012050;10000207;Энтеробиоз;B80
10012051;10000212;Чесотка;B86
10012052;10000215;Паразитарная болезнь неуточненная;B89
10012053;10000217;Последствия полиомиелита;B91
10012054;10000218;Последствия лепры;B92
10012055;10000223;ДРУГИЕ ИНФЕКЦИОННЫЕ БОЛЕЗНИ;B99
10012056;10000225;Злокачественные новообразования основания языка;C01
10012057;10000231;Злокачественное новообразование околоушной слюнной железы;C07
10012058;10000236;Злокачественное новообразование грушевидного синуса;C12
10012059;10000243;Злокачественное новообразование ректосигмоидного соединения;C19
10012060;10000244;Злокачественное новообразование прямой кишки;C20
10012061;10000247;Злокачественное новообразование желчного пузыря;C23
10012062;10000254;Злокачественное новообразование трахеи;C33
10012063;10000256;Злокачественное новообразование вилочковой железы;C37
10012064;10000270;Злокачественное новообразование влагалища;C52
10012065;10000273;Злокачественное новообразование матки неуточненной локализации;C55
10012066;10000274;Злокачественное новообразование яичника;C56
10012067;10000276;Злокачественное новообразование плаценты;C58
10012068;10000278;Злокачественное новообразование предстательной железы;C61
10012069;10000281;Злокачественное новообразование почки, кроме почечной лоханки;C64
10012070;10000282;Злокачественное новообразование почечных лоханок;C65
10012071;10000283;Злокачественное новообразование мочеточника;C66
10012072;10000290;Злокачественное новообразование щитовидной железы;C73
10012073;10000297;Злокачественное новообразование без уточнения локализации;C80
10012074;10000311;ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ САМОСТОЯТЕЛЬНЫХ (ПЕРВИЧНЫХ) МНОЖЕСТВЕННЫХ ЛОКАЛИЗАЦИЙ;C97
10012075;10000335;Доброкачественное новообразование молочной железы;D24
10012076;10000338;Доброкачественное новообразование яичника;D27
10012077;10000345;Доброкачественное новообразование щитовидной железы;D34
10012078;10000356;Полицитемия истинная;D45
10012079;10000371;Острая постгеморрагическая анемия;D62
10012080;10000374;Диссеминированное внутрисосудистое свертывание [синдром дефибринации];D65
10012081;10000375;Наследственный дефицит фактора VIII;D66
10012082;10000379;Агранулоцитоз;D70
10012083;10000380;Функциональные нарушения полиморфно-ядерных нейтрофилов;D71
10012084;10000386;Другие нарушения крови и кроветворных органов при болезнях,;D77*
10012085;10000396;Субклинический гипотиреоз вследствие йодной недостаточности;E02
10012086;10000402;Инсулинзависимый сахарный диабет;E10
10012087;10000403;Инсулиннезависимый сахарный диабет;E11
10012088;10000404;Сахарный диабет, связанный с недостаточностью питания;E12
10012089;10000405;Другие уточненные формы сахарного диабета;E13
10012090;10000406;Сахарный диабет неуточненный;E14
10012091;10000407;Недиабетическая гипогликемическая кома;E15
10012092;10000424;Квашиоркор;E40
10012093;10000425;Алиментарный маразм;E41
10012094;10000426;Маразматический квашиоркор;E42
10012095;10000427;Тяжелая белково-энергетическая недостаточность неуточненная;E43
10012096;10000429;Задержка развития, обусловленная белково-энергетической недостаточностью;E45
10012097;10000430;Белково-энергетическая недостаточность неуточненная;E46
10012098;10000433;Недостаточность никотиновой кислоты [пеллагра];E52
10012099;10000435;Недостаточность аскорбиновой кислоты;E54
10012100;10000438;Алиментарная недостаточность кальция;E58
10012101;10000439;Алиментарная недостаточность селена;E59
10012102;10000440;Алиментарная недостаточность цинка;E60
10012103;10000444;Локализованное отложение жира;E65
10012104;10000447;Последствия избыточности питания;E68
10012105;10000462;Уменьшение объема жидкости;E86
10012106;10000466;Расстройства питания и нарушения обмена веществ при болезнях, классифицированных в других рубриках;E90*
10012107;10000470;Деменция неуточненная;F03
10012108;10000471;Органический амнестический синдром, не вызванный алкоголем или другими психоактивными веществами;F04
10012109;10000475;Органическое или симптоматическое психическое расстройство неуточненное;F09
10012110;10000487;Шизотипическое расстройство;F21
10012111;10000490;Индуцированное бредовое расстройство;F24
10012112;10000492;Другие неорганические психотические расстройства;F28
10012113;10000493;Неорганический психоз неуточненный;F29
10012114;10000500;Расстройство настроения [аффективное] неуточненное;F39
10012115;10000512;Психологические и поведенческие факторы, связанные с нарушениями или болезнями, классифицированными в других рубриках;F54
10012116;10000513;Злоупотребление веществами, не вызывающими зависимость;F55
10012117;10000514;Поведенческие синдромы, связанные с физиологическими нарушениями и физическими факторами, неуточненные;F59
10012118;10000516;Смешанные и другие расстройства личности;F61
10012119;10000523;Расстройство личности и поведения в зрелом возрасте неуточненное;F69
10012120;10000532;Специфические расстройства развития моторной функции;F82
10012121;10000533;Смешанные специфические расстройства психологического развития;F83
10012122;10000535;Другие расстройства психологического развития;F88
10012123;10000536;Расстройство психологического развития неуточненное;F89
10012124;10000544;НЕУТОЧНЕННЫЕ ПСИХИЧЕСКИЕ РАССТРОЙСТВА;F99
10012125;10000546;Менингит при бактериальных болезнях, классифицированных в других рубриках;G01*
10012126;10000552;Внутричерепной и внутрипозвоночный абсцесс и гранулема при болезнях, классифицированных в других рубриках;G07*
10012127;10000553;Внутричерепной и внутрипозвоночный флебит и тромбофлебит;G08
10012128;10000554;Последствия воспалительных болезней центральной нервной системы;G09
10012129;10000555;Болезнь Гентингтона;G10
10012130;10000559;Болезнь Паркинсона;G20
10012131;10000561;Паркинсонизм при болезнях, классифицированных в других рубриках;G22*
10012132;10000565;Экстрапирамидные и двигательные нарушения при болезнях, классифицированных в других рубриках;G26*
10012133;10000569;Рассеянный склероз;G35
10012134;10000593;Другие расстройства периферической нервной системы;G64
10012135;10000604;Токсическая энцефалопатия;G92
10012136;10000610;Другие нарушения нервной системы, не классифицированные в других рубриках;G98
10012137;10000646;Неврит зрительного нерва;H46
10012138;10000655;Нистагм и другие непроизвольные движения глаз;H55
10012139;10000668;Холестеатома среднего уха;H71
10012140;10000675;Вестибулярные синдромы при болезнях, классифицированных в других рубриках;H82*
10012141;10000683;Ревматическая лихорадка без упоминания о вовлечении сердца;I00
10012142;10000691;Эссенциальная [первичная] гипертензия;I10
10012143;10000713;Эндокардит, клапан не уточнен;I38
10012144;10000723;Фибрилляция и трепетание предсердий;I48
10012145;10000732;Инсульт, не уточненный как кровоизлияние или инфаркт;I64
10012146;10000747;Тромбоз портальной вены;I81
10012147;10000759;Другие и неуточненные нарушения системы кровообращения;I99
10012148;10000760;Острый назофарингит (насморк);J00
10012149;10000770;Пневмония, вызванная Streptococcus pneumoniae;J13
10012150;10000771;Пневмония, вызванная Haemophilus influenzae [палочкой Афанасьева-Пфейффера];J14
10012151;10000778;Острая респираторная инфекция нижних дыхательных путей неуточненная;J22
10012152;10000785;Перитонзиллярный абсцесс;J36
10012153;10000789;Бронхит, не уточненный как острый или хронический;J40
10012154;10000791;Хронический бронхит неуточненный;J42
10012155;10000795;Астматическое статус [status asthmaticus];J46
10012156;10000796;Бронхоэктазия;J47
10012157;10000797;Пневмокониоз угольщика;J60
10012158;10000798;Пневмокониоз, вызванный асбестом и другими минеральными веществами;J61
10012159;10000801;Пневмокониоз неуточненный;J64
10012160;10000802;Пневмокониоз, связанный с туберкулезом;J65
10012161;10000808;Синдром респираторного расстройства [дистресса] у взрослого;J80
10012162;10000809;Легочный отек;J81
10012163;10000810;Легочная эозинофилия, не классифицированная в других рубриках;J82
10012164;10000814;Плевральный выпот, не классифицированный в других рубриках;J90
10012165;10000815;Плевральный выпот при состояниях, классифицированных в других рубриках;J91*
10012166;10000838;Эзофагит;K20
10012167;10000847;Диспепсия;K30
10012168;10000850;Другие формы аппендицита;K36
10012169;10000851;Аппендицит неуточненный;K37
10012170;10000887;Острый панкреатит;K85
10012171;10000894;Синдром стафилококкового поражения кожи в виде ожогоподобных пузырей;L00
10012172;10000905;Буллезные нарушения кожи при болезнях, классифицированных в других рубриках;L14*
10012173;10000908;Пеленочный дерматит;L22
10012174;10000912;Эксфолиативный дерматит;L26
10012175;10000919;Питириаз розовый [Жибера];L42
10012176;10000922;Папулосквамозные нарушения при болезнях, классифицированных в других рубриках;L45*
10012177;10000925;Эритема узловатая;L52
10012178;10000947;Витилиго;L80
10012179;10000949;Себорейный кератоз;L82
10012180;10000950;Acanthosis nigricans;L83
10012181;10000951;Мозоли и омозолелости;L84
10012182;10000953;Кератодермии при болезнях, классифицированных в других рубриках;L86*
10012183;10000955;Пиодермия гангренозная;L88
10012184;10000956;Декубитальная язва;L89
10012185;10000963;Язва нижней конечности, не классифицированная в других рубриках;L97
10012186;10001002;Анкилозирующий спондилит;M45
10012187;10001054;Острый тубулоинтерстициальный нефрит;N10
10012188;10001056;Тубулоинтерстициальный нефрит, не уточненный как острый или хронический;N12
10012189;10001063;Почечная недостаточность неуточненная;N19
10012190;10001067;Почечная колика неуточненная;N23
10012191;10001069;Сморщенная почка неуточненная;N26
10012192;10001082;Гиперплазия предстательной железы;N40
10012193;10001086;Перекручивание яичка;N44
10012194;10001088;Мужское бесплодие;N46
10012195;10001089;Избыточная крайняя плоть, фимоз и парафимоз;N47
10012196;10001095;Воспалительные болезни молочной железы;N61
10012197;10001096;Гипертрофия молочной железы;N62
10012198;10001097;Образование в молочной железе неуточненное;N63
10012199;10001101;Воспалительная болезнь шейки матки;N72
10012200;10001113;Эрозия и эктропион шейки матки;N86
10012201;10001123;Привычный выкидыш;N96
10012202;10001137;Существовавшая ранее гипертензия с присоединившейся протеинурией;O11
10012203;10001139;Вызванная беременностью гипертензия без значительной протеинурии;O13
10012204;10001142;Гипертензия у матери неуточненная;O16
10012205;10001148;Недостаточность питания при беременности;O25
10012206;10001159;Многоводие;O40
10012207;10001167;Переношенная беременность;O48
10012208;10001168;Преждевременные роды;O60
10012209;10001189;Послеродовой сепсис;O85
10012210;10001197;Акушерская смерть по неуточненной причине;O95
10012211;10001198;Смерть матери от любой акушерской причины спустя более 42 дней, но менее одного года после родов;O96
10012212;10001199;Смерть матери от последствий прямых акушерских причин;O97
10012213;10001229;Омфалит новорожденного с небольшим кровотечением или без него;P38
10012214;10001234;Геморрагическая болезнь плода и новорожденного;P53
10012215;10001241;Диссеминированное внутрисосудистое свертывание крови у плода и новорожденного;P60
10012216;10001247;Мекониевый илеус (E84.1+);P75*
10012217;10001249;Некротизирующий энтероколит у плода и новорожденного;P77
10012218;10001254;Судороги новорожденного;P90
10012219;10001257;Реакции и интоксикации, вызванные лекарственными средствами, введенными плоду и новорожденному;P93
10012220;10001259;Смерть плода по неуточненной причине;P95
10012221;10001263;Микроцефалия;Q02
10012222;10001350;Гангрена, не классифицированная в других рубриках;R02
10012223;10001353;Кашель;R05
10012224;10001358;Тошнота и рвота;R11
10012225;10001359;Изжога;R12
10012226;10001360;Дисфагия;R13
10012227;10001361;Метеоризм и родственные состояния;R14
10012228;10001362;Недержание кала;R15
10012229;10001364;Неуточненная желтуха;R17
10012230;10001365;Асцит;R18
10012231;10001368;Сыпь и другие неспецифические кожные высыпания;R21
10012232;10001376;Неспецифическая гематурия;R31
10012233;10001377;Недержание мочи неуточненное;R32
10012234;10001378;Задержка мочи;R33
10012235;10001379;Анурия и олигурия;R34
10012236;10001380;Полиурия;R35
10012237;10001381;Выделения из уретры;R36
10012238;10001385;Головокружение и нарушение устойчивости;R42
10012239;10001394;Головная боль;R51
10012240;10001396;Недомогание и утомляемость;R53
10012241;10001397;Старость;R54
10012242;10001398;Обморок [синкопе] и коллапс;R55
10012243;10001401;Кровотечение, не классифицированное в других рубриках;R58
10012244;10001407;Кахексия;R64
10012245;10001409;Неизвестные и неуточненные причины заболевания;R69
10012246;10001411;Аномалия эритроцитов;R71
10012247;10001412;Аномалия лейкоцитов, не классифицированная в других рубриках;R72
10012248;10001415;Лабораторное обнаружение вируса иммунодефицита человека [ВИЧ];R75
10012249;10001420;Изолированная протеинурия;R80
10012250;10001421;Гликозурия;R81
10012251;10001430;Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования легких;R91
10012252;10001431;Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования молочной железы;R92
10012253;10001434;Внезапная смерть грудного ребенка;R95
10012254;10001436;Смерть без свидетелей;R98
10012255;10001437;Другие неточно обозначенные и неуточненные причины смерти;R99
10012256;10001454;Травма мышц и сухожилий на уровне шеи;S16
10012257;10001456;Травматическая ампутация на уровне шеи;S18
10012258;10001485;Размозжение плечевого пояса и плеча;S47
10012259;10001545;Множественные травмы неуточненные;T07
10012260;10001546;Перелом позвоночника на неуточненном уровне;T08
10012261;10001548;Перелом верхней конечности на неуточненном уровне;T10
10012262;10001550;Перелом нижней конечности на неуточненном уровне;T12
10012263;10001554;Инородное тело в ухе;T16
10012264;10001593;Токсическое действие мыл и детергентов;T55
10012265;10001596;Токсическое действие окиси углерода;T58
10012266;10001602;Токсическое действие загрязняющих пищевые прдукты афлатоксина и других микотоксинов;T64
10012267;10001604;Неуточненные эффекты излучения;T66
10012268;10001606;Гипотермия;T68
10012269;10001609;Асфиксия;T71
10012270;10001630;Последствия отравлений лекарственными средствами, медикаментами и биологическими веществами;T96
10012271;10001631;Последствия токсического действия веществ преимущественно немедицинского назначения;T97
10012272;10001723;Несчастный случай на борту водного транспортного средства, не вызванный аварией на нем и не приведший к погружению в воду и утоплению;V93
10012273;10001728;Другие уточненные транспортные несчастные случаи;V98
10012274;10001729;Транспортный несчастный случай неуточненный;V99
10012275;10001730;Падение на поверхности одного уровня, покрытой льдом или снегом;W00
10012276;10001731;Падение на поверхности одного уровня в результате поскальзывания, ложного шага или спотыкания;W01
10012277;10001732;Падение при катании на коньках, лыжах, роликовых коньках или роликовой доске;W02
10012278;10001733;Другое падение на поверхности одного уровня в результате столкновения с другим лицом или толчка;W03
10012279;10001734;Падение лица при переносе его другими лицами или при оказании ему поддержки другим лицом;W04
10012280;10001735;Падение, связанное с инвалидной коляской;W05
10012281;10001736;Падение, связанное с кроватью;W06
10012282;10001737;Падение, связанное со стулом;W07
10012283;10001738;Падение, связанное с другими предметами обстановки;W08
10012284;10001739;Падение, связанное с оборудованием спортивной площадки;W09
10012285;10001740;Падение на лестнице и ступенях или с лестницы и ступеней;W10
10012286;10001741;Падение на приставной лестнице и с нее;W11
10012287;10001742;Падение на строительных лесах и с них;W12
10012288;10001743;Падение со (из) здания или сооружения;W13
10012289;10001744;Падение с дерева;W14
10012290;10001745;Падение со скалы (крутого обрыва);W15
10012291;10001746;Ныряние или прыжок в воду, приведшие к травме, отличной от утопления или погружения в воду;W16
10012292;10001747;Другое падение с одного уровня на другой;W17
10012293;10001748;Другие случаи падения на поверхности одного уровня;W18
10012294;10001749;Падение неуточненное;W19
10012295;10001750;Удар брошенным, рушащимся или падающим предметом;W20
10012296;10001751;Удар о спортивное оборудование или спортивным оборудованием;W21
10012297;10001752;Удар о другой предмет или другим предметом;W22
10012298;10001753;Зацепление, раздавливание, сжатие или защемление в объекте или между объектами;W23
10012299;10001754;Соприкосновение с подъемными и передаточными устройствами, не классифицированными в других рубриках;W24
10012300;10001755;Соприкосновение с острым краем стекла;W25
10012301;10001756;Соприкосновение с ножом, шпагой или кинжалом;W26
10012302;10001757;Соприкосновение с ручным инструментом без силового двигателя;W27
10012303;10001758;Соприкосновение с силовой газонокосилкой;W28
10012304;10001759;Соприкосновение с другими силовыми ручными инструментами и бытовыми машинами;W29
10012305;10001760;Соприкосновение с сельскохозяйственными механизмами;W30
10012306;10001761;Соприкосновение с другими и неуточненными машинами;W31
10012307;10001762;Выстрел из ручного огнестрельного оружия;W32
10012308;10001763;Выстрел из винтовки, дробового ружья и крупнокалиберного огнестрельного оружия;W33
10012309;10001764;Выстрел из другого и неуточненного огнестрельного оружия;W34
10012310;10001765;Взрыв, разрыв парового котла;W35
10012311;10001766;Взрыв, разрыв газового баллона;W36
10012312;10001767;Разрыв автомобильной шины, трубопровода или шланга, находившихся под давлением;W37
10012313;10001768;Взрыв, разрыв другого уточненного устройства, находившегося под давлением;W38
10012314;10001769;Залп фейерверка;W39
10012315;10001770;Взрыв других веществ;W40
10012316;10001771;Воздействие струи под давлением;W41
10012317;10001772;Воздействие шума;W42
10012318;10001773;Воздействие вибрации;W43
10012319;10001774;Попадание инородного тела в или через глаз или естественное;W44
10012320;10001775;Проникновение инородного тела через кожу;W45
10012321;10001776;Воздействие других и неуточненных неживых механических сил;W49
10012322;10001777;Удар, толчок, пинок, выкручивание, укус или оцарапывание другим лицом;W50
10012323;10001778;Удар другого лица или столкновение с ним;W51
10012324;10001779;Раздавливание, толчок или затаптывание толпой или при паническом бегстве людей;W52
10012325;10001780;Укус крысы;W53
10012326;10001781;Укус или удар, нанесенный собакой;W54
10012327;10001782;Укус или удар, нанесенный другими млекопитающими;W55
10012328;10001783;Контакт с морским животным;W56
10012329;10001784;Укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими;W57
10012330;10001785;Укус или удар, нанесенный крокодилом;W58
10012331;10001786;Укус или раздавливание другими рептилиями;W59
10012332;10001787;Контакт с шипами и колючками растений или листьями с острыми краями;W60
10012333;10001788;Воздействие других и неуточненных живых механических сил;W64
10012334;10001789;Утопление и погружение в воду во время принятия ванны;W65
10012335;10001790;Утопление и погружение в воду в результате падения в ванну;W66
10012336;10001791;Утопление и погружение в воду во время нахождения в плавательном бассейне;W67
10012337;10001792;Утопление и погружение в воду в результате падения в плавательный бассейн;W68
10012338;10001793;Утопление и погружение в воду во время нахождения в естественном водоеме;W69
10012339;10001794;Утопление и погружение в воду в результате падения в естественный водоем;W70
10012340;10001795;Другие уточненные случаи утопления и погружения в воду;W73
10012341;10001796;Случаи утопления и погружения в воду неуточненные;W74
10012342;10001797;Случайное удушение и удавление в кровати;W75
10012343;10001798;Другие случайные повешения и удавления;W76
10012344;10001799;Угроза дыханию в результате засыпания сыпучими веществами,обвалившейся землей и другими породами;W77
10012345;10001800;Вдыхание содержимого желудка;W78
10012346;10001801;Вдыхание и заглатывание пищи, приводящее к закупорке дыхательных путей;W79
10012347;10001802;Вдыхание и заглатывание другого инородного тела, приводящее к закупорке дыхательных путей;W80
10012348;10001803;Случайное или преднамеренное попадание в среду с низким содержанием кислорода;W81
10012349;10001804;Другие случаи уточненной угрозы дыханию;W83
10012350;10001805;Угроза дыханию неуточненная;W84
10012351;10001806;Несчастный случай, связанный с линией электропередачи;W85
10012352;10001807;Несчастный случай, связанный с источником электрического тока уточненным;W86
10012353;10001808;Несчастный случай, связанный с источником электрического тока неуточненным;W87
10012354;10001809;Воздействие ионизирующего излучения;W88
10012355;10001810;Воздействие искусственных видимых и ультрафиолетовых лучей;W89
10012356;10001811;Воздействие другого неионизирующего излучения;W90
10012357;10001812;Воздействие излучения неуточненного типа;W91
10012358;10001813;Воздействие чрезмерного тепла от искусственного источника;W92
10012359;10001814;Воздействие чрезмерного холода от искусственного источника;W93
10012360;10001815;Воздействие высокого и низкого атмосферного давления и изменений атмосферного давления;W94
10012361;10001816;Воздействие других и неуточненных искусственно созданных факторов внешней среды;W99
10012362;10001817;Воздействие неконтролируемого огня (пожара) в здании или сооружении;X00
10012363;10001818;Воздействие неконтролируемого огня (пожара) вне здания или сооружения;X01
10012364;10001819;Воздействие контролируемого огня в здании или сооружении;X02
10012365;10001820;Воздействие контролируемого огня вне здания или сооружения;X03
10012366;10001821;Повреждение при загорании легковоспламеняющихся веществ;X04
10012367;10001822;Повреждение при воспламенении или расплавлении ночной пижамы (рубашки);X05
10012368;10001823;Повреждение при воспламенении или расплавлении другой одежды и дополнений к ней;X06
10012369;10001824;Воздействие других уточненных источников дыма, огня и пламени;X08
10012370;10001825;Воздействие неуточненных источников дыма, огня и пламени;X09
10012371;10001826;Соприкосновение с горячими напитками, пищевыми продуктами, жирами и кулинарными маслами;X10
10012372;10001827;Соприкосновение с горячей водой из крана;X11
10012373;10001828;Соприкосновение с другими горячими жидкостями;X12
10012374;10001829;Воздействие пара и горячих испарений;X13
10012375;10001830;Воздействие горячего воздуха и газов;X14
10012376;10001831;Соприкосновение с горячими бытовыми приборами;X15
10012377;10001832;Соприкосновение с горячими обогревательными приборами, радиаторами отопления и трубами;X16
10012378;10001833;Соприкосновение с горячими двигателями, машинами и инструментами;X17
10012379;10001834;Соприкосновение с другими раскаленными металлами;X18
10012380;10001835;Соприкосновение с другими и неуточненными горячими и раскаленными веществами и предметами;X19
10012381;10001836;Контакт с ядовитыми змеями и ящерицами;X20
10012382;10001837;Контакт с ядовитыми пауками;X21
10012383;10001838;Контакт со скорпионом;X22
10012384;10001839;Контакт с шершнями, осами и пчелами;X23
10012385;10001840;Контакт с многоножками и ядовитыми тысяченожками (тропическими);X24
10012386;10001841;Контакт с другими уточненными ядовитыми членистоногими;X25
10012387;10001842;Контакт с ядовитыми морскими животными и растениями;X26
10012388;10001843;Контакт с другими уточненными ядовитыми животными;X27
10012389;10001844;Контакт с другими уточненными ядовитыми растениями;X28
10012390;10001845;Контакт с неуточненными ядовитыми растениями и животными;X29
10012391;10001846;Воздействие чрезмерно высокой природной температуры;X30
10012392;10001847;Воздействие чрезмерно низкой природной температуры;X31
10012393;10001848;Воздействие солнечного света;X32
10012394;10001849;Жертва удара молнии;X33
10012395;10001850;Жертва землетрясения;X34
10012396;10001851;Жертва извержения вулкана;X35
10012397;10001852;Жертва снежного обвала, оползня и их подвижек грунта;X36
10012398;10001853;Жертва разрушительного шторма;X37
10012399;10001854;Жертва наводнения;X38
10012400;10001855;Воздействие других и неуточненных сил природы;X39
10012401;10001856;Случайное отравление и воздействие неопиоидными анальгетиками, жаропонижающими и противоревматическими средствами;X40
10012402;10001857;Случайное отравление и воздействие противосудорожными, седативными, снотворными, противопаркинсоническими и психотропными средствами, не классифицированные в других рубриках;X41
10012403;10001858;Случайное отравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированные в других рубриках;X42
10012404;10001859;Случайное отравление и воздействие другими лекарственными средствами, влияющими на вегетативную нервную систему;X43
10012405;10001860;Случайное отравление и воздействие другими и неуточненными лекарственными средствами, медикаментами и биологическими субстанциями;X44
